# Daily

          day        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-07     3.55 GiB |    2.48 GiB |    6.03 GiB |  599.52 kbit/s
     ------------------------+-------------+-------------+---------------

# Hourly

         hour        rx      |     tx      |    total    |   avg. rate
     ------------------------+-------------+-------------+---------------
     2023-06-07
         00:00    152.53 MiB |  108.53 MiB |  261.05 MiB |  608.30 kbit/s
         01:00    153.17 MiB |  107.90 MiB |  261.07 MiB |  608.33 kbit/s
         02:00    152.80 MiB |  108.15 MiB |  260.96 MiB |  608.07 kbit/s
         03:00    152.79 MiB |  107.71 MiB |  260.51 MiB |  607.03 kbit/s
         04:00    152.91 MiB |  107.82 MiB |  260.73 MiB |  607.55 kbit/s
         05:00    152.75 MiB |  107.51 MiB |  260.26 MiB |  606.45 kbit/s
         06:00    170.33 MiB |  108.03 MiB |  278.37 MiB |  648.64 kbit/s
         07:00    152.82 MiB |  108.20 MiB |  261.02 MiB |  608.23 kbit/s
         08:00    152.87 MiB |  108.68 MiB |  261.55 MiB |  609.47 kbit/s
         09:00    170.01 MiB |  107.87 MiB |  277.88 MiB |  647.51 kbit/s
         10:00    152.66 MiB |  108.03 MiB |  260.69 MiB |  607.44 kbit/s
         11:00    152.60 MiB |  108.83 MiB |  261.42 MiB |  609.16 kbit/s
         12:00    152.77 MiB |  108.68 MiB |  261.45 MiB |  609.23 kbit/s
         13:00    152.70 MiB |  108.32 MiB |  261.02 MiB |  608.22 kbit/s
         14:00    171.85 MiB |  108.61 MiB |  280.46 MiB |  653.52 kbit/s
         15:00    152.65 MiB |  108.05 MiB |  260.70 MiB |  607.48 kbit/s
         16:00    152.14 MiB |  107.99 MiB |  260.14 MiB |  606.16 kbit/s
         17:00    152.38 MiB |  108.53 MiB |  260.92 MiB |  607.98 kbit/s
         18:00    152.50 MiB |  107.73 MiB |  260.24 MiB |  606.39 kbit/s
         19:00    151.19 MiB |  106.82 MiB |  258.01 MiB |  601.20 kbit/s
         20:00    128.02 MiB |   89.34 MiB |  217.37 MiB |  506.50 kbit/s
         21:00    126.19 MiB |   88.15 MiB |  214.34 MiB |  499.45 kbit/s
         22:00    139.01 MiB |   98.40 MiB |  237.41 MiB |  553.21 kbit/s
